nohup: ignoring input
Live tension collector started. Collecting every 15 minutes...
[2026-04-21 00:48:14] Saved: tension=6.46, articles=323, cat=Military
[2026-04-21 01:03:15] Saved: tension=4.64, articles=232, cat=Military
[2026-04-21 01:18:15] Saved: tension=5.94, articles=297, cat=Military
[2026-04-21 01:33:16] Saved: tension=5.3, articles=265, cat=Military
[2026-04-21 01:48:16] Saved: tension=5.4, articles=270, cat=Military
[2026-04-21 02:03:17] Saved: tension=5.54, articles=277, cat=Military
[2026-04-21 02:18:17] Saved: tension=5.36, articles=268, cat=Military
[2026-04-21 02:33:18] Saved: tension=4.6, articles=230, cat=Military
[2026-04-21 02:48:18] Saved: tension=7.52, articles=376, cat=Military
[2026-04-21 03:03:19] Saved: tension=4.04, articles=202, cat=Military
[2026-04-21 03:18:19] Saved: tension=4.1, articles=205, cat=Military
[2026-04-21 03:33:20] Saved: tension=5.1, articles=255, cat=Military
Error fetching GDELT: 'utf-8' codec can't decode byte 0xf1 in position 23095: invalid continuation byte
[2026-04-21 04:03:20] Saved: tension=4.34, articles=217, cat=Military
[2026-04-21 04:18:21] Saved: tension=3.1, articles=155, cat=Military
[2026-04-21 04:33:21] Saved: tension=4.94, articles=247, cat=Military
[2026-04-21 04:48:21] Saved: tension=4.28, articles=214, cat=Military
[2026-04-21 05:03:22] Saved: tension=3.68, articles=184, cat=Military
[2026-04-21 05:18:22] Saved: tension=4.86, articles=243, cat=Military
[2026-04-21 05:33:23] Saved: tension=4.18, articles=209, cat=Military
[2026-04-21 05:48:23] Saved: tension=5.36, articles=268, cat=Military
[2026-04-21 06:03:23] Saved: tension=4.42, articles=221, cat=Military
[2026-04-21 06:18:24] Saved: tension=5.48, articles=274, cat=Military
[2026-04-21 06:33:24] Saved: tension=6.42, articles=321, cat=Military
[2026-04-21 06:48:25] Saved: tension=5.74, articles=287, cat=Military
[2026-04-21 07:03:26] Saved: tension=5.76, articles=288, cat=Military
[2026-04-21 07:18:26] Saved: tension=4.44, articles=222, cat=Military
[2026-04-21 07:33:26] Saved: tension=5.92, articles=296, cat=Military
Error fetching GDELT: 'utf-8' codec can't decode byte 0xf1 in position 198787: invalid continuation byte
